[2025-05-29 19:26:29] [INFO    ] discord.client: logging in using static token
[2025-05-29 19:26:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-29 19:26:29] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-29 19:26:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1377798586800017488', 'username': 'bot1377798586800017488', 'avatar': None, 'discriminator': '4211', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-29 19:26:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-29 19:26:29] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-29 19:26:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1377798586800017488', 'name': 'bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1377798586800017488', 'username': 'bot1377798586800017488', 'avatar': None, 'discriminator': '4211', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '190640012dde5e173d3476b2a717a2d871354d61af23ce33614fa1275e6daef2', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '790540759153639435', 'username': 'masterchief3506', 'avatar': '0d4edf88b987b1b003e8573e720766e7', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 4296018, 'global_name': 'Masterchief', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#418d52', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-29 19:26:29] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-29 19:26:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-vqjt",{"micros":0.0}]']}}
[2025-05-29 19:26:29] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-29 19:26:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-29 19:26:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'bot1377798586800017488', 'primary_guild': None, 'mfa_enabled': True, 'id': '1377798586800017488', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4211', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '48c792d79b5f06c4e0628f3c761d7042', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1377803542773108909'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'atlanta', 'us-central', 'us-east', 'us-west'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1377798586800017488', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-vqjt",{"micros":177782,"calls":["id_created",{"micros":306,"calls":[]},"session_lookup_time",{"micros":312,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-6",{"micros":176432,"calls":["start_session",{"micros":156721,"calls":["discord-api-rpc-786947b8cd-56dg9",{"micros":146680,"calls":["get_user",{"micros":41859},"get_guilds",{"micros":31655},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":18},"pending_payments",{"micros":1713},"apex_user_experiments",{"micros":5},"user_activities",{"micros":3}]}]},"starting_guild_connect",{"micros":28,"calls":[]},"presence_started",{"micros":6958,"calls":[]},"guilds_started",{"micros":86,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":12621,"calls":[]},"connect_finished",{"micros":12624,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-05-29 19:26:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-29 19:26:30] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 48c792d79b5f06c4e0628f3c761d7042).
[2025-05-29 19:26:30] [DEBUG   ] discord.client: Dispatching event connect
